"Type","Title","Url","ListId","ItemId","HasUniquePermissions"
"File","5110 Derivatives Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/December 2023 Release/5110 Derivatives Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","1644","True"
"File","7700 Hedging Activities Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/December 2023 Release/7700 Hedging Activities Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","1648","True"
"File","6350 SEC Defined Benefits Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/December 2023 Release/6350 SEC Defined Benefits Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","1687","True"
"File","6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2023 Release/6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","2418","True"
"File","Transaction Cycle Understanding Template.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/April 2024 Release/Transaction Cycle Understanding Template.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","2515","True"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/1400 Determination of Materiality.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","3142","True"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/1605 Common Documentation for Groups or Related Entities.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","3166","True"
"File","7700 Hedging Activities Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/7700 Hedging Activities Audit Program.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","3203","True"
"File","9062 HC Financial Statement Review Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2024 Release/9062 HC Financial Statement Review Procedures.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","3275","True"
"File","0110 - Letter and Report Tailoring Checklist.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2024 Release/0110 - Letter and Report Tailoring Checklist.docx","5daa8e55-0763-4a84-b650-ec0a78f5b820","3632","True"
"File","Appendix 5.2 - Other Auditor Completion Confirmation.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/Appendix 5.2 - Other Auditor Completion Confirmation.docx","ca696754-2278-4b97-b091-536275b3c168","550","True"
"File","Appendix 1.6 - Acknowledgement of Receipt.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/Appendix 1.6 - Acknowledgement of Receipt.docx","ca696754-2278-4b97-b091-536275b3c168","555","True"
"File","6350 SEC Defined Benefits Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/6350 SEC Defined Benefits Audit Program.docx","ca696754-2278-4b97-b091-536275b3c168","579","True"
"File","6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","ca696754-2278-4b97-b091-536275b3c168","948","True"
"File","Project Plan_Audit Systems 23.00 Upgrade.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Audit Systems 2200 Project Documents/Project Plan_Audit Systems 23.00 Upgrade.xlsx","2f572078-32f0-45bc-b951-8caf22bbc91e","2","True"
"File","L 1011 SEC Demo Video.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Automated Communications/Pre-Pilot and Pilot Materials/L 1011 SEC Demo Video.mp4","46387540-89c9-4cf2-ae8c-1001d897d6e6","2","True"
"File","L 1011 SEC Pilot Instructions.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Automated Communications/Pre-Pilot and Pilot Materials/L 1011 SEC Pilot Instructions.pdf","46387540-89c9-4cf2-ae8c-1001d897d6e6","3","True"
"File","Audit Arrangement Letter Template.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Template Archive/Audit Arrangement Letter Template.docx","c400daf1-e56f-49d7-a445-541e16b40fc6","36","True"
"File","UAT Instructions - August 2024.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Bugs/UAT Instructions - August 2024.xlsx","8521d0c3-981c-4a24-bc6c-c564f5bb8c12","393","True"
