"Type","Title","Url","Action","Reason","Timestamp"
"File","Terminal Server Setup and Operations Instructions - Updated for 11-2020 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/UAT for 11-20-2020 Release/Terminal Server Setup and Operations Instructions - Updated for 11-2020 Release.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Terminal Server Setup and Operations Instructions - Updated for 05-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 05-2021 Release.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Terminal Server Setup and Operations Instructions - Updated for 07-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 07-2021 Release.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","08.02.21 - UAT Kickoff Recording.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/08.02.21 - UAT Kickoff Recording.mp4","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","UAT Information and Links - Updated for 12-2021 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/UAT Information and Links - Updated for 12-2021 Release.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","04.04.22 - UAT Kickoff Recording.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/04.04.22 - UAT Kickoff Recording.mp4","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Terminal Server Setup and Operations Instructions - Updated for 08-2022 Release.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Terminal Server Setup and Operations Instructions - Updated for 08-2022 Release.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","UAT Engagement List.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT Engagement List.xlsx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Transaction Cycle Understanding Template.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC EBP Docs/Redlines/Transaction Cycle Understanding Template.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","4600 SEC FI Consideration of Going Concern Program and Checklist.rtf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_FI/Redlines/Superseded/4600 SEC FI Consideration of Going Concern Program and Checklist.rtf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","SEC Orb Form Tracker.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Scoping/SEC Orb Form Tracker.xlsx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","4600 SEC Consideration of Going Concern Program and Checklist.rtf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Redlines/Superseded/4600 SEC Consideration of Going Concern Program and Checklist.rtf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Appendix 1.6 - Acknowledgement of Receipt.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Redlines/SEC Orb Group Audit Instructions/Appendix 1.6 - Acknowledgement of Receipt.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Appendix 5.2 - Other Auditor Completion Confirmation.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/SEC_G/Redlines/SEC Orb Group Audit Instructions/Appendix 5.2 - Other Auditor Completion Confirmation.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
